Machete Kills,20000000
Doubt,20000000
The Man Who Wasn't There,20000000
12 Years a Slave,20000000
Copycat,20000000
The World's End,20000000
John Wick,20000000
Eternal Sunshine of the Spotless Mind,20000000
The Conjuring,20000000
Suspiria,20000000
The Royal Tenenbaums,21000000
Silver Linings Playbook,21000000
The Hundred-Foot Journey,22000000
"Hail, Caesar!",22000000
Open Range,22000000
The Water Diviner,22500000
Bad Santa,23000000
Her,23000000
Behind the Candelabra,23000000
Piranha 3D,24000000
The Mission,24500000
Up in the Air,25000000
Tombstone,25000000
Mystic River,25000000
Big Trouble in Little China,25000000
The Hunting Party,25000000
Scary Stories to Tell in the Dark,25000000
Goodfellas,25000000
Eastern Promises,25000000
Don't Be Afraid of the Dark,25000000
The Road,25000000
The Shawshank Redemption,25000000
Burt Munro: The World's Fastest Indian,25000000
There Will Be Blood,25000000
Ironclad,25000000
Carnage,25000000
The Grand Budapest Hotel,25000000
No Country for Old Men,25000000
The Grey,25000000
Taken,25000000
Dawn of the Dead,26000000
Yesterday,26000000
Lawless,26000000
Pain & Gain,26000000
"O Brother, Where Art Thou?",26000000
The Running Man,27000000
Identity,28000000
Blade Runner,28000000
The Big Short,28000000
Brotherhood of the Wolf,29000000
Once Upon a Time in Mexico,29000000
Kill Bill: Vol. 2,30000000
Kill Bill: Vol. 1,30000000
District 9,30000000
Kick-Ass,30000000
Side Effects,30000000
Mother!,30000000
Sicario,30000000
Full Metal Jacket,30000000
Den of Thieves,30000000
The Frighteners,30000000
30 Days of Night,30000000
Dark Water,30000000
Mimic,30000000
Doomsday,30000000
Looper,30000000
Million Dollar Baby,30000000
The Cabin in the Woods,30000000
Death Wish,30000000
Arlington Road,31000000
Apocalypse Now,31500000
The Quick and the Dead,32000000
The Master,32000000
Repo Men,32000000
Team America: World Police,32000000
The Tree of Life,32000000
Austin Powers: The Spy Who Shagged Me,33000000
Pandorum,33000000
Gran Torino,33000000
Seven,33000000
Baby Driver,34000000
Natural Born Killers,34000000
It,35000000
12 Strong,35000000
The Fountain,35000000
Død snø 2,35000000
Phantom Thread,35000000
J. Edgar,35000000
Horrible Bosses,35000000
School of Rock,35000000
The Ladykillers,35000000
21,35000000
Sicario: Day of the Soldado,35000000
Gattaca,36000000
Burn After Reading,37000000
Magnolia,37000000
True Grit,38000000
Les frères Sisters,38000000
The Ninth Gate,38000000
Hostiles,39000000
Shoot 'Em Up,39000000
Snowpiercer,39200000
Sin City,40000000
Predators,40000000
Ninja Assassin,40000000
Apocalypto,40000000
The Social Network,40000000
Annihilation,40000000
The Relic,40000000
John Wick: Chapter 2,40000000
Fantastic Mr. Fox,40000000
